index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
60,resources/data/patches_3rdparty/Aleksey Zhehanov/Strings/String Section.fxp,contributor,400764,b87a57cf8c5d8ddb2ecdb1a5a2aa7c6223ccf730,b87a57cf8c5d8ddb2ecdb1a5a2aa7c6223ccf730,True,ok,,74,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
61,resources/data/patches_3rdparty/Aleksey Zhehanov/Vox/Otamatone.fxp,contributor,333053,da6238c4395b6343cb8aff4017a545285732363c,da6238c4395b6343cb8aff4017a545285732363c,True,ok,,11,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
62,resources/data/patches_3rdparty/Aleksey Zhehanov/Winds/Alto Sax MW+AT.fxp,contributor,267718,6e14f473c5d70a21f2f889f7dc272adf85136522,6e14f473c5d70a21f2f889f7dc272adf85136522,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
63,resources/data/patches_3rdparty/Aleksey Zhehanov/Winds/Alto Sax.fxp,contributor,267928,5eb985f269bf6989119d2486df120fc5b7d3af9d,5eb985f269bf6989119d2486df120fc5b7d3af9d,True,ok,,10,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
64,resources/data/patches_3rdparty/Aleksey Zhehanov/Winds/Lyrical Flute.fxp,contributor,489449,1e6ed5c490c32fa60a95e895ca9722b5efac9d4e,1e6ed5c490c32fa60a95e895ca9722b5efac9d4e,True,ok,,22,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
65,resources/data/patches_3rdparty/Aleksey Zhehanov/Winds/Soprano Sax.fxp,contributor,489994,ff532fd9ad5fde476e51a618a6a84f3d4c9e6c78,ff532fd9ad5fde476e51a618a6a84f3d4c9e6c78,True,ok,,15,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
66,resources/data/patches_3rdparty/Aleksey Zhehanov/Winds/Subtractive Flute.fxp,contributor,486437,714656ee8bc73e766a8448de27e8d179e9dc6cec,714656ee8bc73e766a8448de27e8d179e9dc6cec,True,ok,,21,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
67,resources/data/patches_3rdparty/Altenberg/Basses/Aggressive.fxp,contributor,34751,5ce26d67be585be7ca8b9d4f0c97311d8c2588db,5ce26d67be585be7ca8b9d4f0c97311d8c2588db,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
68,resources/data/patches_3rdparty/Altenberg/Basses/Ancient FM.fxp,contributor,33122,9e796f283f2d4b2a69de6198878d57c34f6d86c3,9e796f283f2d4b2a69de6198878d57c34f6d86c3,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
69,resources/data/patches_3rdparty/Altenberg/Basses/Ayay.fxp,contributor,34901,c80005fd4cf687b6e8d6e0265b2d5fc1cb1a5587,c80005fd4cf687b6e8d6e0265b2d5fc1cb1a5587,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
